Website,Name,Width,Aspect ratio,Rim size,Pattern,Price
https://www.blackcircles.com,Michelin,225,50,16,Pilot Sport 4,£191.99
https://www.blackcircles.com,Goodyear,225,50,16,EfficientGrip Performance 2,£149.99
https://www.blackcircles.com,Avon,225,50,16,ZV7,£116.99
https://www.blackcircles.com,Michelin,225,50,16,Pilot Exalto PE2,£179.99
https://www.blackcircles.com,Tomket,225,50,16,Sport,£65.60
https://www.blackcircles.com,Accelera,225,50,16,Phi-R,£69.06
https://www.blackcircles.com,Dynamo,225,50,16,Street-H MH01,£70.20
https://www.blackcircles.com,Infinity,225,50,16,Ecomax,£71.38
https://www.blackcircles.com,Nankang,225,50,16,Sportnex NS-20,£82.99
https://www.blackcircles.com,Sumitomo,225,50,16,BC100,£97.69
https://www.blackcircles.com,Kumho,225,50,16,Ecsta HS51,£105.94
https://www.blackcircles.com,Avon,225,50,16,ZV7,£116.99
https://www.blackcircles.com,Falken,225,50,16,Ziex ZE310 Ecorun,£123.50
https://www.blackcircles.com,Uniroyal,225,50,16,RainSport 5,£123.99
https://www.blackcircles.com,Hankook,225,50,16,Ventus Prime 3,£127.25
https://www.blackcircles.com,Continental,225,50,16,Premium Contact 6,£147.99
https://www.blackcircles.com,Goodyear,225,50,16,EfficientGrip Performance 2,£149.99
https://www.blackcircles.com,Continental,225,50,16,Ultra Contact,£157.99
https://www.blackcircles.com,Michelin,225,50,16,CrossClimate 2,£167.99
https://www.blackcircles.com,Michelin,225,50,16,Pilot Exalto PE2,£179.99
https://www.blackcircles.com,Michelin,225,50,16,Pilot Sport 4,£191.99
https://www.blackcircles.com,Yokohama,225,50,16,Advan Neova AD08RS (Designed for Track Days),£199.49
https://www.blackcircles.com,Pirelli,225,50,16,P Zero Rosso,£204.99
https://www.blackcircles.com,Bridgestone,225,50,16,Potenza RE050,£207.44
